,0,1,2,3,4,5,6,7,8,9,10
0,0.9396,0.972,0.9797,0.9725,0.9718,0.9733,0.9876,0.95,0.0668,0.9311,0.9774
1,0.9371,0.972,0.9718,0.9672,0.9796,0.9733,0.9823,0.972,0.0694,0.9311,0.9722
2,0.9371,0.972,0.9745,0.9578,0.9665,0.9707,0.9823,0.9694,0.0591,0.926,0.9696
3,0.9371,0.972,0.9692,0.9672,0.9578,0.9707,0.9797,0.9694,0.0694,0.9286,0.9722
4,0.9345,0.9694,0.9718,0.9646,0.9665,0.968,0.9797,0.9474,0.0591,0.9286,0.9696
5,0.9371,0.972,0.9718,0.9672,0.9665,0.9653,0.9797,0.9448,0.0668,0.9286,0.9748
6,0.9345,0.9667,0.9692,0.9672,0.9552,0.9653,0.9771,0.9448,0.0643,0.926,0.9696
7,0.9319,0.9667,0.9666,0.95,0.95,0.96,0.9745,0.9667,0.0591,0.9209,0.967
8,0.9293,0.964,0.9666,0.9908,0.95,0.96,0.9718,0.964,0.054,0.9209,0.9644
9,0.9293,0.9667,0.964,0.9594,0.95,0.9573,0.9745,0.9667,0.0617,0.9184,0.9696
10,0.9319,0.964,0.9666,0.962,0.95,0.9573,0.9718,0.9667,0.0514,0.9184,0.9644
11,0.9319,0.964,0.9666,0.9526,0.9526,0.9573,0.9718,0.964,0.0643,0.9235,0.967
12,0.9319,0.9614,0.9614,0.962,0.95,0.96,0.9745,0.9396,0.0488,0.9209,0.9644
13,0.9293,0.964,0.9666,0.9594,0.95,0.9547,0.9771,0.9396,0.0617,0.9209,0.967
14,0.9293,0.9614,0.9666,0.962,0.9448,0.9547,0.9745,0.964,0.0566,0.9209,0.9696
15,0.9371,0.972,0.9718,0.9646,0.9718,0.9573,0.9797,0.9694,0.0566,0.9286,0.9722
16,0.9345,0.972,0.9797,0.9646,0.9639,0.9573,0.9797,0.9474,0.0566,0.9286,0.9696
17,0.9371,0.972,0.9745,0.9856,0.9526,0.96,0.9797,0.9474,0.0591,0.926,0.9748
18,0.9345,0.9694,0.9745,0.9646,0.9691,0.9547,0.9797,0.9694,0.0643,0.926,0.9696
19,0.9345,0.972,0.9692,0.9646,0.9639,0.9573,0.9823,0.972,0.0514,0.926,0.9696
20,0.9371,0.972,0.9718,0.9672,0.9639,0.952,0.9823,0.972,0.0591,0.9235,0.9696
21,0.9371,0.972,0.9745,0.9646,0.9665,0.9547,0.9797,0.972,0.054,0.9286,0.9748
22,0.9345,0.9694,0.9718,0.9672,0.9665,0.9493,0.9771,0.9448,0.0488,0.9235,0.9722
23,0.9371,0.9694,0.9718,0.983,0.9639,0.9467,0.9797,0.9448,0.0591,0.926,0.967
24,0.9345,0.972,0.9745,0.9672,0.9665,0.9493,0.9797,0.9694,0.0463,0.9286,0.9696
25,0.9345,0.9667,0.9718,0.9646,0.9639,0.9467,0.9797,0.972,0.0463,0.9235,0.9722
26,0.9345,0.9694,0.9666,0.9646,0.9665,0.9493,0.9771,0.9694,0.054,0.926,0.9748
27,0.9319,0.972,0.9692,0.9646,0.9665,0.9467,0.9797,0.9448,0.0566,0.9286,0.9696
28,0.9371,0.9694,0.9745,0.9646,0.9665,0.9467,0.9797,0.972,0.0488,0.9235,0.9722
29,0.9345,0.9694,0.9718,0.9646,0.9639,0.944,0.9771,0.9448,0.0591,0.9235,0.967
30,0.9345,0.9694,0.9692,0.9646,0.9665,0.944,0.9797,0.9694,0.0463,0.926,0.9722
31,0.9345,0.9694,0.9718,0.983,0.9691,0.9413,0.9797,0.972,0.0488,0.926,0.967
32,0.9345,0.9667,0.9692,0.9646,0.9665,0.9413,0.9797,0.9694,0.0488,0.9235,0.9696
33,0.9319,0.972,0.9325,0.9646,0.9665,0.9413,0.9797,0.9694,0.0566,0.926,0.9722
34,0.9371,0.9667,0.9299,0.9646,0.9665,0.9387,0.9797,0.9448,0.0591,0.9286,0.967
35,0.9345,0.9667,0.8906,0.9672,0.9691,0.9387,0.9771,0.972,0.0566,0.9235,0.967
36,0.9293,0.9614,0.888,0.9594,0.9474,0.936,0.9745,0.9111,0.054,0.8801,0.967
37,0.9267,0.964,0.8461,0.962,0.9526,0.9333,0.9771,0.8851,0.0488,0.8418,0.967
